time,node,node_capacity,used_resources
200,pop48,100,0
200,pop49,100,0
200,pop50,100,16.0
200,pop51,100,0
200,pop52,100,8.0
200,pop53,100,0
200,pop54,100,2.0
200,pop55,100,0
200,pop56,100,0
200,pop57,100,0
200,pop58,100,0
200,pop59,100,0
200,pop60,100,5.0
200,pop61,100,14.0
200,pop62,100,0
200,pop63,100,0
200,pop64,100,0
200,pop65,100,13.0
200,pop66,100,2.0
200,pop67,100,0
200,pop68,100,0
200,pop69,100,0
200,pop70,100,13.0
200,pop71,100,24.0
200,pop72,100,0
300,pop0,100,0
300,pop1,100,0
300,pop2,100,0
300,pop3,100,0
300,pop4,100,0
300,pop5,100,0
300,pop6,100,0
300,pop7,100,0
300,pop8,100,18.0
300,pop9,100,2.0
300,pop10,100,0
300,pop11,100,0
300,pop12,100,6.0
300,pop13,100,10.0
300,pop14,100,2.0
300,pop15,100,0
300,pop16,100,0
300,pop17,100,0
300,pop18,100,10.0
300,pop19,100,5.0
300,pop20,100,21.0
300,pop21,100,1.0
300,pop22,100,12.0
300,pop23,100,10.0
300,pop24,100,11.0
300,pop25,100,0
300,pop26,100,0
300,pop27,100,1.0
300,pop28,100,6.0
300,pop29,100,0
300,pop30,100,0
300,pop31,100,4.0
300,pop32,100,0
300,pop33,100,0
300,pop34,100,0
300,pop35,100,2.0
300,pop36,100,15.0
300,pop37,100,9.0
300,pop38,100,6.0
300,pop39,100,5.0
300,pop40,100,4.0
300,pop41,100,0
300,pop42,100,11.0
300,pop43,100,0
300,pop44,100,0
300,pop45,100,10.0
300,pop46,100,0
300,pop47,100,0
300,pop48,100,0
300,pop49,100,0
300,pop50,100,17.0
300,pop51,100,0
300,pop52,100,7.0
300,pop53,100,0
300,pop54,100,1.0
300,pop55,100,0
300,pop56,100,0
300,pop57,100,0
300,pop58,100,0
300,pop59,100,0
300,pop60,100,8.0
300,pop61,100,19.0
300,pop62,100,0
300,pop63,100,0
300,pop64,100,0
300,pop65,100,4.0
300,pop66,100,6.0
300,pop67,100,0
300,pop68,100,0
300,pop69,100,0
300,pop70,100,6.0
300,pop71,100,12.0
300,pop72,100,0
400,pop0,100,0
400,pop1,100,0
400,pop2,100,0
400,pop3,100,0
400,pop4,100,0
400,pop5,100,0
400,pop6,100,0
