episode,time,node,sf
1,8700,pop0,b
1,8700,pop0,c
1,8700,pop1,a
1,8700,pop1,b
1,8700,pop2,a
1,8700,pop2,b
1,8700,pop2,c
1,8700,pop3,a
1,8700,pop3,b
1,8700,pop3,c
1,8700,pop4,c
1,8700,pop5,b
1,8700,pop5,c
1,8700,pop6,a
1,8700,pop6,b
1,8700,pop6,c
1,8700,pop7,a
1,8700,pop7,b
1,8700,pop7,c
1,8700,pop8,a
1,8700,pop8,b
1,8700,pop8,c
1,8700,pop9,b
1,8700,pop9,c
1,8700,pop10,a
1,8700,pop10,b
1,8700,pop10,c
1,8800,pop0,a
1,8800,pop0,b
1,8800,pop0,c
1,8800,pop1,a
1,8800,pop1,b
1,8800,pop1,c
1,8800,pop2,a
1,8800,pop2,b
1,8800,pop2,c
1,8800,pop3,a
1,8800,pop3,b
1,8800,pop3,c
1,8800,pop4,b
1,8800,pop4,c
1,8800,pop5,b
1,8800,pop5,c
1,8800,pop6,a
1,8800,pop6,b
1,8800,pop6,c
1,8800,pop7,a
1,8800,pop7,b
1,8800,pop7,c
1,8800,pop8,a
1,8800,pop8,b
1,8800,pop8,c
1,8800,pop9,a
1,8800,pop9,b
1,8800,pop9,c
1,8800,pop10,a
1,8800,pop10,b
1,8800,pop10,c
1,8900,pop0,a
1,8900,pop0,b
1,8900,pop0,c
1,8900,pop1,a
1,8900,pop1,b
1,8900,pop1,c
1,8900,pop2,a
1,8900,pop2,b
1,8900,pop2,c
1,8900,pop3,a
1,8900,pop3,b
1,8900,pop3,c
1,8900,pop4,c
1,8900,pop5,b
1,8900,pop5,c
1,8900,pop6,a
1,8900,pop6,b
1,8900,pop6,c
1,8900,pop7,a
1,8900,pop7,b
1,8900,pop7,c
1,8900,pop8,a
1,8900,pop8,b
1,8900,pop8,c
1,8900,pop9,b
1,8900,pop9,c
1,8900,pop10,a
1,8900,pop10,b
1,8900,pop10,c
1,9000,pop0,a
1,9000,pop0,b
1,9000,pop0,c
1,9000,pop1,a
1,9000,pop1,b
1,9000,pop1,c
1,9000,pop2,a
1,9000,pop2,b
1,9000,pop2,c
1,9000,pop3,a
1,9000,pop3,b
1,9000,pop3,c
1,9000,pop4,b
1,9000,pop4,c
1,9000,pop5,b
1,9000,pop5,c
1,9000,pop6,a
1,9000,pop6,b
1,9000,pop6,c
1,9000,pop7,a
1,9000,pop7,b
1,9000,pop7,c
1,9000,pop8,a
1,9000,pop8,b
1,9000,pop8,c
1,9000,pop9,a
1,9000,pop9,b
1,9000,pop9,c
1,9000,pop10,a
1,9000,pop10,b
1,9000,pop10,c
1,9100,pop0,a
1,9100,pop0,b
1,9100,pop0,c
1,9100,pop1,a
1,9100,pop1,b
1,9100,pop1,c
1,9100,pop2,a
1,9100,pop2,b
1,9100,pop2,c
1,9100,pop3,a
1,9100,pop3,b
1,9100,pop3,c
1,9100,pop4,b
1,9100,pop4,c
1,9100,pop5,b
1,9100,pop5,c
1,9100,pop6,a
1,9100,pop6,b
1,9100,pop6,c
1,9100,pop7,a
1,9100,pop7,b
1,9100,pop7,c
1,9100,pop8,a
1,9100,pop8,b
1,9100,pop8,c
1,9100,pop9,a
1,9100,pop9,b
1,9100,pop9,c
1,9100,pop10,a
1,9100,pop10,b
1,9100,pop10,c
1,9200,pop0,a
1,9200,pop0,b
1,9200,pop0,c
1,9200,pop1,a
1,9200,pop1,b
1,9200,pop1,c
1,9200,pop2,a
1,9200,pop2,b
1,9200,pop2,c
1,9200,pop3,a
1,9200,pop3,b
1,9200,pop3,c
1,9200,pop4,b
1,9200,pop4,c
1,9200,pop5,b
1,9200,pop5,c
1,9200,pop6,a
1,9200,pop6,b
1,9200,pop6,c
1,9200,pop7,a
1,9200,pop7,b
1,9200,pop7,c
1,9200,pop8,a
1,9200,pop8,b
1,9200,pop8,c
1,9200,pop9,a
1,9200,pop9,b
1,9200,pop9,c
1,9200,pop10,a
1,9200,pop10,b
1,9200,pop10,c
1,9300,pop0,a
1,9300,pop0,b
1,9300,pop0,c
